Price,Close,High,Low,Open,Volume
8/1/2019,50.05471039,52.36016326,49.64885796,51.36833768,216071600
8/2/2019,48.99564743,49.57440902,48.42168623,49.35827441,163448400
8/5/2019,46.43083572,47.70603811,46.24832212,47.54754109,209572000
8/6/2019,47.30978394,47.56674747,46.59893481,47.14407903,143299200
8/7/2019,47.79969025,47.92456989,46.54610443,46.92794394,133457600
8/8/2019,48.85396194,48.87797853,47.88375261,48.07827451,108038000
8/9/2019,48.45138931,48.87806937,48.04157812,48.52611846,98478800
8/12/2019,48.32844543,48.70691718,48.0078303,48.12113052,89927600
8/13/2019,50.37506866,51.13923995,48.32843706,48.45861348,188874000
8/14/2019,48.87565231,49.76517772,48.83708125,48.97448929,146189600
8/15/2019,48.63217926,49.45179415,48.13317577,49.04680901,108909600
8/16/2019,49.77963638,49.93873925,49.13840629,49.24447486,110481600
8/19/2019,50.70773315,51.28146206,50.63059103,50.77281768,97654400
8/20/2019,50.71015167,51.43093334,50.70051074,50.83550581,107537200
8/21/2019,51.25976944,51.50324238,51.00906489,51.34414318,86141600
8/22/2019,51.21636963,51.69367449,50.80414929,51.39234501,89014800
8/23/2019,48.84914017,51.1175501,48.45379591,50.48596081,187272000
8/26/2019,49.77722931,49.94597311,49.43250641,49.62535805,104174400
8/27/2019,49.21554947,50.27381861,49.06367821,50.10748413,103493200
8/28/2019,49.54580688,49.59160956,49.01305833,49.20108766,63755200
8/29/2019,50.3847084,50.45944122,49.81821108,50.26176728,83962000
8/30/2019,50.31961823,50.73183493,49.94837821,50.6619281,84573600
9/3/2019,49.58679199,49.89535317,49.23001882,49.76276743,80092000
9/4/2019,50.42810822,50.49801506,49.97732034,50.23525655,76752400
9/5/2019,51.41405487,51.58038938,50.98737118,51.10549369,95654800
9/6/2019,51.40922928,51.68886398,51.22843155,51.59967161,77449200
9/9/2019,51.62859344,52.17580888,50.88129845,51.79010562,109237600
9/10/2019,52.23849487,52.25778041,51.03558955,51.55387496,127111600
9/11/2019,53.89942169,53.92835183,52.48678853,52.56875297,177158400
9/12/2019,53.7788887,54.5816311,53.72344509,54.19110916,128906800
9/13/2019,52.73266602,53.22443417,52.31562699,53.03399554,159053200
9/16/2019,53.00989532,53.06534261,52.44580726,52.48678764,84632400
9/17/2019,53.20273972,53.23166985,52.82185876,53.02435499,73274800
9/18/2019,53.70174408,53.72102961,52.89900178,53.28952367,101360000
9/19/2019,53.26542282,53.94039806,53.12319248,53.5185367,88242400
9/20/2019,52.48679733,53.65113542,52.4241221,53.36668203,221652400
9/23/2019,52.72544479,52.99543492,52.46750491,52.78088841,76662000
9/24/2019,52.47473145,53.63425064,52.35661262,53.28229611,124763200
